Page Name,User Name,Facebook Id,Likes at Posting,Followers at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score
CNN,cnn,5550296508,33510586,36579248,2020-09-24 02:45:30 KST,Native Video,44730,29572,111732,2399,3595,488,96491,33443,1650,crosspost,8441541,11059004,11979031,00:10:53,https://www.facebook.com/cnn/posts/10161314896801509,"Go There heads to Houston, Texas to look at the impact Covid-19 is having on those facing evictions in the United States. CNN’s Kyung Lah follows a Texas sheriff issuing orders to evict, and interviews individuals suffering the loss of their homes – just before the CDC issued an order on September 2 to halt evictions across the country until the end of 2020.",https://www.facebook.com/cnn/videos/2766578776920769/,,,"Laid off and evicted amid Covid-19: ""We ain't got nowhere to go""",,,,"324,100",48.39
CNN,cnn,5550296508,32703588,35150158,2020-04-04 10:01:09 KST,Link,58396,8939,52046,5851,3455,255,182686,490,0,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10160665777331509,"""They were as compatible and inseparable as two human beings have ever been married and existed on earth,"" their son said",https://cnn.it/2JEiW4I,https://www.cnn.com/2020/04/03/us/nfl-agent-buddy-baker-parents-coronavirus-trnd/index.html?utm_content=2020-04-04T01%3A01%3A05&utm_medium=social&utm_source=fbCNN&utm_term=link,,"Married for 51 years, they died of Covid-19 six minutes apart", ,,,"312,118",39.63
CNN,cnn,5550296508,32468805,34670847,2020-03-24 08:45:00 KST,Native Video,115850,8852,75998,4753,2381,746,28004,1037,2,crosspost,17713244,19298860,20264838,00:10:51,https://www.facebook.com/cnn/posts/642582423196410,"From Tokyo and Shanghai to Iran and Cuba, entire cities and countries are making drastic changes to slow down the spread of the coronavirus. Our CNN correspondents show how cities around the world are continuing to cope with the global pandemic.",https://www.facebook.com/cnn/videos/642582423196410/,,,The Covid-19 pandemic continues to shut down entire countries and cities around the world,,,,"237,623",73.52
CNN,cnn,5550296508,33551827,36705622,2020-10-08 14:00:52 KST,Link,130670,18958,26952,30200,3478,4723,215,1326,591,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161358034411509,"In an unprecedented move, the New England Journal of Medicine published an editorial written by its editors condemning the Trump administration for its response to the Covid-19 pandemic -- and calling for the current leadership in the US to be voted out of office.",https://cnn.it/3iGt8sn,https://www.cnn.com/2020/10/07/health/nejm-editorial-political-leadership-bn/index.html?utm_medium=social&utm_term=link&utm_content=2020-10-08T05%3A00%3A45&utm_source=fbCNN&fbclid=IwAR13DpKvV8V1UR9IwS1KO5nvkpm6mgisAL6ohStmB0rdQwI-2Rq_jy1rCcI&fbclid=IwAR1RCKcEZ0FycX0RakCvzGi1vtc_LvtLPGvkgx-2uS0Jo34s7M9OBG0J4iA&fbclid=IwAR02FwVVChjBqh-ZGbhrF6QdeE8UlvFkiJaz4btrcwuCZguWWq8uJmsTyBI&fbclid=IwAR3wJvxfmPJDsVFofqj3ktL6pgNv16PuoBP5D-wH9wpmcV613UZ9CShAcvo,,Prestigious medical journal calls for US leadership to be voted out over Covid-19 failure,,,,"217,113",35.59
CNN,cnn,5550296508,34229089,37677002,2020-12-03 23:00:41 KST,Link,113066,16413,14926,26930,885,3932,57,285,1146,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161525459916509,"Former Presidents Barack Obama, George W. Bush and Bill Clinton are volunteering to get their Covid-19 vaccines on camera to promote public confidence in the vaccine's safety once the U.S. Food and Drug Administration authorizes one",https://cnn.it/39zP3AN,https://www.cnn.com/2020/12/02/politics/obama-vaccine/index.html?utm_content=2020-12-03T14%3A00%3A37&utm_term=link&utm_source=fbCNN&utm_medium=social,,"Former Presidents Obama, Bush and Clinton volunteer to get coronavirus vaccine publicly to prove it's safe",,,,"177,640",12.92
CNN,cnn,5550296508,34229089,37677002,2020-11-18 02:45:11 KST,Link,106069,4563,12762,42289,1073,115,22,38,2737,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161479807731509,Her $1 million donation to coronavirus research at Vanderbilt University helped fund Moderna's vaccine,https://cnn.it/32VcHn1,https://www.cnn.com/2020/11/17/entertainment/dolly-parton-covid-moderna-vaccine-trnd/index.html?utm_term=link&utm_medium=social&utm_content=2020-11-17T17%3A45%3A08&utm_source=fbCNN,,Dolly Parton helped fund Moderna's Covid-19 vaccine research,,,,"169,668",12.34
CNN,cnn,5550296508,32623383,34985931,2020-03-31 10:02:06 KST,Link,17216,6742,34830,778,2482,98,106757,498,0,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10160647220026509,"Dr. James T. Goodrich, the neurosurgeon who allowed CNN inside a remarkable operation to separate twins Jadon and Anias McDonald, died on Monday after complications related to Covid-19, according to the hospital where he worked.",https://cnn.it/341x0OX,https://www.cnn.com/2020/03/30/health/new-york-neurosurgeon-death-coronavirus-mcdonald-twins/index.html?utm_content=2020-03-31T01%3A02%3A03&utm_medium=social&utm_source=fbCNN&utm_term=link&fbclid=IwAR2twNtyxD-OVkjeh9zLNPlc97rHQX7wvV5XzBrfrhxBRaf6jA4pnBXPalE&fbclid=IwAR2sJUhPgaxOrxNstF8HzBmPKDZ1rXOvhdfzMU6kbRgo_xkiF7sZNNd4VPU,,Neurosurgeon who separated conjoined twins dies from complications of Covid-19, ,,,"169,401",21.51
CNN,cnn,5550296508,33084773,35787555,2020-05-14 21:33:06 KST,Link,8656,6127,112617,69,5795,88,27832,303,151,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10160851726871509,"Doctors say parents, hospitals and clinics should expect to see more cases of a mystifying condition, called multisystem inflammatory syndrome, that seems to be affecting children after a bout with Covid-19.",https://cnn.it/35YTh0K,https://edition.cnn.com/2020/05/14/health/pediatric-coronavirus-syndrome-multisystem-health/index.html?utm_source=fbCNN&utm_content=2020-05-14T12%3A33%3A04&utm_term=link&utm_medium=social&fbclid=IwAR3YjB3WzO6-P_4u2rcW1Cz6N-X04oRYKD-RuM-62TgphE5GBvPMKtLqqro,,"Expect more cases of strange coronavirus syndrome in kids, doctors warn", ,,,"161,638",20.53
CNN,cnn,5550296508,33443168,37534359,2020-08-10 18:00:11 KST,Link,19288,11087,62802,158,10441,642,27852,2847,208,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161177041256509,"The report, published by the American Academy of Pediatrics and the Children's Hospital Association, said in those two weeks, there was a 40% increase in child cases across the states and cities that were studied.",https://cnn.it/33FYueZ,,,"More than 97,000 children tested positive for Covid-19 in the last two weeks of July, report says",,,,"135,325",17.18
CNN,cnn,5550296508,33960825,37217497,2020-11-10 09:00:24 KST,Link,87584,9218,3737,21322,273,3137,190,3439,651,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161456327741509,"President-elect Joe Biden's office has released plans that his administration intends to implement at the beginning of his term, and one is a national mask mandate ""by working with governors and mayors.""",https://cnn.it/3pgeI6I,https://www.cnn.com/2020/11/09/us/biden-mask-mandate-nationwide-trnd/index.html?utm_source=fbCNN&utm_medium=social&utm_content=2020-11-10T00%3A00%3A18&utm_term=link&fbclid=IwAR0p94L5tPP1Pz511R_7Xjm5_qd0NSKqTwq49AZej4wXQ77N43_j0LFoBJ0&fbclid=IwAR3hKlL_M7MrvEgBIZk1-cbG0yv1hEGIb6zdpYhA-K1v4HZCRZyc2h_R2_M,,Biden wants to see masks mandated in all 50 states. These are the ones that don't require them,"While health officials agree face masks help prevent the spread of Covid-19, state and local governments have varied widely on implementation of mask rules. Now, President-elect Joe Biden wants to change that.",,,"129,551",21.24
